Draw number,Draw date,draw_date_iso,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Winning Number 7,Supplementary Number 1,Supplementary Number 2,Supplementary Number 3,Division 1 winners,Division 1 winners in WA,Division 1 prize pool,Division 1 amount,Division 2 winners,Division 2 winners in WA,Division 2 prize pool,Division 2 amount,Division 3 winners,Division 3 winners in WA,Division 3 prize pool,Division 3 amount,Division 4 winners,Division 4 winners in WA,Division 4 prize pool,Division 4 amount,Division 5 winners,Division 5 winners in WA,Division 5 prize pool,Division 5 amount,Division 6 winners,Division 6 winners in WA,Division 6 prize pool,Division 6 amount,Division 7 winners,Division 7 winners in WA,Division 7 prize pool,Division 7 amount
855,06/07/2010,2010-07-06,19,9,30,45,40,34,29.0,6,33,,0.0,0.0,0.0,0.0,1.0,0.0,74980.5,74980.5,39.0,7.0,154371.75,3958.25,268.0,44.0,79395.0,296.25,2394.0,329.0,92647.8,38.7,50346.0,7059.0,1059783.3,21.05,87717.0,12207.0,1188565.35,13.55
856,13/07/2010,2010-07-13,16,27,39,6,31,13,23.0,1,45,,0.0,0.0,0.0,0.0,2.0,0.0,84800.2,42400.1,43.0,9.0,174588.6,4060.2,303.0,49.0,89794.05,296.35,2864.0,465.0,104822.4,36.6,61511.0,9295.0,1196388.95,19.45,98946.0,14300.0,1340718.3,13.55
857,20/07/2010,2010-07-20,5,6,23,7,13,3,34.0,2,19,,0.0,0.0,0.0,0.0,5.0,2.0,145195.5,29039.1,95.0,16.0,298931.75,3146.65,788.0,98.0,153738.8,195.1,5506.0,653.0,179495.6,32.6,123041.0,15689.0,2048632.65,16.65,210837.0,27436.0,2298123.3,10.9
858,27/07/2010,2010-07-27,40,30,26,1,19,12,8.0,6,28,,0.0,0.0,0.0,0.0,15.0,3.0,212613.0,14174.2,153.0,17.0,437733.0,2861.0,922.0,106.0,225106.3,244.15,7089.0,856.0,262647.45,37.05,155550.0,20309.0,3002115.0,19.3,275270.0,35903.0,3358294.0,12.2
859,03/08/2010,2010-08-03,41,19,27,3,15,40,31.0,28,45,,0.0,0.0,0.0,0.0,13.0,3.0,274535.3,21118.1,145.0,34.0,565217.25,3898.05,958.0,197.0,290705.1,303.45,8220.0,1352.0,339075.0,41.25,183474.0,26234.0,3871301.4,21.1,326677.0,45807.0,4344804.1,13.3
860,10/08/2010,2010-08-10,11,16,28,25,22,21,41.0,39,14,,1.0,0.0,30000000.0,30000000.0,9.0,2.0,351468.9,39052.1,159.0,27.0,723609.0,4551.0,1230.0,149.0,372136.5,302.55,10344.0,1428.0,433930.8,41.95,240104.0,32159.0,4958147.6,20.65,415536.0,56011.0,5568182.4,13.4
861,17/08/2010,2010-08-17,44,30,15,2,17,3,23.0,5,14,,0.0,0.0,0.0,0.0,1.0,0.0,81061.35,81061.35,42.0,6.0,166891.2,3973.6,291.0,36.0,85830.45,294.95,2468.0,340.0,100077.4,40.55,54273.0,7549.0,1145160.3,21.1,101985.0,14286.0,1285011.0,12.6
862,24/08/2010,2010-08-24,2,33,12,19,4,44,17.0,20,5,,0.0,0.0,0.0,0.0,4.0,1.0,98979.2,24744.8,54.0,7.0,203779.8,3773.7,326.0,50.0,104809.0,321.5,2989.0,422.0,122250.1,40.9,68014.0,9629.0,1397687.7,20.55,126438.0,18090.0,1567831.2,12.4
863,31/08/2010,2010-08-31,16,40,8,13,30,33,23.0,24,3,,0.0,0.0,0.0,0.0,9.0,1.0,151513.2,16834.8,94.0,16.0,311939.0,3318.5,735.0,122.0,160413.75,218.25,4713.0,684.0,187106.1,39.7,107770.0,14385.0,2139234.5,19.85,201952.0,26501.0,2393131.2,11.85
864,07/09/2010,2010-09-07,40,27,28,34,8,44,3.0,6,23,,0.0,0.0,0.0,0.0,4.0,0.0,179293.8,44823.45,105.0,25.0,369132.75,3515.55,618.0,71.0,189849.6,307.2,5730.0,873.0,221464.5,38.65,121951.0,16754.0,2530483.25,20.75,221983.0,29804.0,2841382.4,12.8
865,14/09/2010,2010-09-14,25,34,41,18,24,29,23.0,38,37,,1.0,0.0,20000000.0,20000000.0,5.0,2.0,230292.5,46058.5,121.0,10.0,474132.45,3918.45,784.0,95.0,243824.0,311.0,6553.0,815.0,284400.2,43.4,149500.0,19200.0,3251625.0,21.75,261579.0,34440.0,3649027.05,13.95
866,21/09/2010,2010-09-21,16,38,9,8,44,35,39.0,17,40,,0.0,0.0,0.0,0.0,1.0,0.0,73582.15,73582.15,32.0,4.0,151492.8,4734.15,182.0,37.0,77914.2,428.1,1728.0,248.0,90892.8,52.6,42919.0,6153.0,1038639.8,24.2,81810.0,11336.0,1165792.5,14.25
867,28/09/2010,2010-09-28,33,32,15,26,40,6,25.0,14,42,,0.0,0.0,0.0,0.0,1.0,0.0,94159.8,94159.8,38.0,11.0,193858.9,5101.55,255.0,27.0,99705.0,391.0,2286.0,280.0,116357.4,50.9,56716.0,7625.0,1329990.2,23.45,98531.0,12954.0,1487818.1,15.1
868,05/10/2010,2010-10-05,27,8,23,26,3,41,29.0,1,13,,0.0,0.0,0.0,0.0,5.0,1.0,146574.0,29314.8,85.0,13.0,301771.25,3550.25,588.0,75.0,155202.6,263.95,4694.0,631.0,180953.7,38.55,106647.0,13998.0,2068951.8,19.4,200931.0,26602.0,2320753.05,11.55
869,12/10/2010,2010-10-12,22,37,38,4,1,40,7.0,9,42,,1.0,0.0,15000000.0,15000000.0,3.0,0.0,189911.4,63303.8,91.0,10.0,390995.15,4296.65,591.0,73.0,201087.75,340.25,5456.0,657.0,234608.0,43.0,124899.0,14960.0,2679083.55,21.45,220230.0,26655.0,3006139.5,13.65
870,19/10/2010,2010-10-19,13,35,8,27,45,38,19.0,44,23,,0.0,0.0,0.0,0.0,4.0,1.0,73790.0,18447.5,48.0,3.0,151920.0,3165.0,309.0,38.0,78130.65,252.85,2531.0,333.0,91116.0,36.0,55745.0,7520.0,1042431.5,18.7,97377.0,13081.0,1168524.0,12.0
871,26/10/2010,2010-10-26,36,20,32,8,40,6,44.0,28,1,,0.0,0.0,0.0,0.0,2.0,0.0,83712.8,41856.4,32.0,5.0,172350.4,5385.95,316.0,44.0,88638.0,280.5,2296.0,293.0,103434.8,45.05,53778.0,7272.0,1183116.0,22.0,101395.0,13737.0,1323204.75,13.05
872,02/11/2010,2010-11-02,32,14,30,43,23,38,11.0,19,12,,0.0,0.0,0.0,0.0,2.0,0.0,124090.6,62045.3,64.0,5.0,255481.6,3991.9,392.0,51.0,131398.4,335.2,3390.0,472.0,153228.0,45.2,78362.0,10257.0,1751390.7,22.35,146708.0,19849.0,1965887.2,13.4
873,09/11/2010,2010-11-09,25,4,10,35,27,39,36.0,6,16,,0.0,0.0,0.0,0.0,4.0,0.0,180206.8,45051.7,95.0,12.0,371013.0,3905.4,561.0,80.0,190796.1,340.1,4991.0,659.0,222598.6,44.6,116132.0,14688.0,2543290.8,21.9,206071.0,25598.0,2854083.35,13.85
874,16/11/2010,2010-11-16,12,33,38,36,28,43,26.0,14,11,,2.0,0.0,20000000.0,10000000.0,10.0,1.0,238459.5,23845.95,167.0,27.0,490946.6,2939.8,826.0,92.0,252466.9,305.65,7434.0,999.0,294386.4,39.6,160778.0,21369.0,3368299.1,20.95,281311.0,36636.0,3769567.4,13.4
875,23/11/2010,2010-11-23,5,20,22,43,45,7,2.0,14,24,,0.0,0.0,0.0,0.0,1.0,0.0,74838.1,74838.1,51.0,10.0,154078.65,3021.15,268.0,28.0,79234.2,295.65,2451.0,369.0,92402.7,37.7,53104.0,7200.0,1056769.6,19.9,87988.0,11925.0,1183438.6,13.45
876,30/11/2010,2010-11-30,26,7,8,22,39,25,20.0,40,38,,0.0,0.0,0.0,0.0,2.0,0.0,94947.6,47473.8,26.0,6.0,195479.7,7518.45,307.0,39.0,100527.15,327.45,2795.0,326.0,117250.25,41.95,64320.0,8424.0,1341072.0,20.85,108651.0,14593.0,1504816.35,13.85
877,07/12/2010,2010-12-07,1,19,40,23,36,27,25.0,7,24,,0.0,0.0,0.0,0.0,11.0,2.0,143051.7,13004.7,94.0,22.0,294516.1,3133.15,563.0,65.0,151475.15,269.05,4249.0,632.0,176758.4,41.6,100481.0,12360.0,2019668.1,20.1,185167.0,22754.0,2259037.4,12.2
878,14/12/2010,2010-12-14,28,22,38,12,34,33,5.0,40,13,,1.0,0.0,15000000.0,15000000.0,6.0,1.0,176635.8,29439.3,155.0,11.0,363661.0,2346.2,611.0,80.0,187027.1,306.1,5932.0,759.0,218297.6,36.8,125606.0,15810.0,2493279.1,19.85,211455.0,26380.0,2791206.0,13.2
879,21/12/2010,2010-12-21,26,13,38,8,35,42,7.0,16,2,,0.0,0.0,0.0,0.0,1.0,0.0,69261.65,69261.65,34.0,5.0,142597.7,4194.05,275.0,40.0,73342.5,266.7,2150.0,288.0,85570.0,39.8,47486.0,6265.0,978211.6,20.6,82368.0,10698.0,1095494.4,13.3
880,28/12/2010,2010-12-28,35,6,37,22,43,36,14.0,20,10,,0.0,0.0,0.0,0.0,2.0,1.0,63036.0,31518.0,45.0,4.0,129780.0,2884.0,186.0,20.0,66746.1,358.85,1655.0,211.0,77867.75,47.05,38299.0,5210.0,890451.75,23.25,69366.0,8851.0,998870.4,14.4
881,04/01/2011,2011-01-04,3,4,45,40,24,33,39.0,20,13,,1.0,0.0,10000000.0,10000000.0,2.0,1.0,128355.9,64177.95,59.0,11.0,264261.0,4479.0,350.0,53.0,135905.0,388.3,3297.0,355.0,158585.7,48.1,80713.0,8712.0,1812006.85,22.45,154932.0,17089.0,2029609.2,13.1
882,11/01/2011,2011-01-11,34,28,27,33,9,12,17.0,14,20,,0.0,0.0,0.0,0.0,2.0,0.0,69985.0,34992.5,21.0,7.0,144086.25,6861.25,195.0,35.0,74100.0,380.0,2114.0,367.0,86462.6,40.9,48539.0,6562.0,987768.65,20.35,82390.0,11439.0,1108145.5,13.45
883,18/01/2011,2011-01-18,38,19,2,36,14,21,4.0,35,8,,0.0,0.0,0.0,0.0,2.0,1.0,84779.4,42389.7,59.0,10.0,174545.6,2958.4,294.0,40.0,89772.9,305.35,2603.0,344.0,104770.75,40.25,58185.0,7590.0,1195701.75,20.55,105196.0,14221.0,1341249.0,12.75
884,25/01/2011,2011-01-25,28,17,30,41,5,16,34.0,26,9,,0.0,0.0,0.0,0.0,1.0,0.0,129297.35,129297.35,51.0,11.0,266199.6,5219.6,421.0,66.0,136909.2,325.2,3586.0,470.0,159756.3,44.55,82164.0,11054.0,1824040.8,22.2,145927.0,20364.0,2042978.0,14.0
885,01/02/2011,2011-02-01,23,33,37,34,27,38,11.0,14,4,,1.0,0.0,15000000.0,15000000.0,8.0,4.0,147740.8,18467.6,137.0,12.0,304174.25,2220.25,590.0,98.0,156438.5,265.15,5132.0,608.0,182442.6,35.55,106408.0,13933.0,2085596.8,19.6,176057.0,23708.0,2341558.1,13.3
886,08/02/2011,2011-02-08,41,18,14,26,30,15,23.0,43,5,,0.0,0.0,0.0,0.0,1.0,0.0,67034.3,67034.3,24.0,9.0,138012.0,5750.5,183.0,32.0,70976.55,387.85,1710.0,255.0,82849.5,48.45,41803.0,5787.0,946837.95,22.65,77501.0,10606.0,1061763.7,13.7
887,15/02/2011,2011-02-15,29,20,7,11,32,37,41.0,33,9,,1.0,0.0,5000000.0,5000000.0,2.0,0.0,84649.1,42324.55,72.0,8.0,174276.0,2420.5,309.0,32.0,89625.45,290.05,2430.0,339.0,104611.5,43.05,57070.0,7840.0,1195616.5,20.95,99859.0,13454.0,1338110.6,13.4
888,22/02/2011,2011-02-22,39,26,5,18,2,16,28.0,15,31,,0.0,0.0,0.0,0.0,3.0,1.0,68211.3,22737.1,38.0,10.0,140434.7,3695.65,167.0,26.0,72227.5,432.5,2126.0,324.0,84295.9,39.65,45857.0,6395.0,962997.0,21.0,79828.0,10511.0,1077678.0,13.5
889,01/03/2011,2011-03-01,38,8,20,33,12,16,14.0,43,41,,0.0,0.0,0.0,0.0,1.0,0.0,81149.4,81149.4,33.0,3.0,167072.4,5062.8,256.0,24.0,85926.4,335.65,2245.0,311.0,100239.25,44.65,52729.0,6794.0,1146855.75,21.75,83131.0,11365.0,1284373.95,15.45
890,08/03/2011,2011-03-08,20,7,13,28,16,36,29.0,6,45,,0.0,0.0,0.0,0.0,3.0,0.0,123409.5,41136.5,63.0,10.0,254079.0,4033.0,490.0,64.0,130658.5,266.65,4084.0,495.0,152537.4,37.35,89377.0,12065.0,1742851.5,19.5,153016.0,20571.0,1950954.0,12.75
891,15/03/2011,2011-03-15,26,15,25,8,41,28,16.0,24,35,,1.0,1.0,15000000.0,15000000.0,5.0,2.0,148732.5,29746.5,75.0,6.0,306213.75,4082.85,543.0,82.0,157470.0,290.0,4189.0,576.0,183687.65,43.85,96000.0,13139.0,2097600.0,21.85,176511.0,23330.0,2356421.85,13.35
892,22/03/2011,2011-03-22,44,16,13,37,39,10,15.0,24,40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,201714.6,8770.2,167.0,20.0,69822.7,418.1,1492.0,235.0,81463.2,54.6,37906.0,5462.0,930592.3,24.55,67647.0,9814.0,1045146.15,15.45
893,29/03/2011,2011-03-29,41,17,25,24,27,3,34.0,43,45,,0.0,0.0,0.0,0.0,1.0,1.0,84762.65,84762.65,42.0,10.0,174512.1,4155.05,323.0,50.0,89745.55,277.85,2300.0,348.0,104650.0,45.5,55640.0,7817.0,1196260.0,21.5,95010.0,13983.0,1339641.0,14.1
894,05/04/2011,2011-04-05,18,42,24,45,43,21,40.0,10,44,,0.0,0.0,0.0,0.0,2.0,0.0,149093.0,74546.5,115.0,19.0,306958.0,2669.2,644.0,110.0,157876.6,245.15,4323.0,712.0,184159.8,42.6,98604.0,14004.0,2105195.4,21.35,169294.0,23919.0,2361651.3,13.95
895,12/04/2011,2011-04-12,41,5,13,40,9,18,29.0,19,14,,0.0,0.0,0.0,0.0,6.0,1.0,196968.0,32828.0,110.0,21.0,405520.5,3686.55,708.0,95.0,208541.4,294.55,5896.0,849.0,243210.0,41.25,132354.0,18013.0,2779434.0,21.0,242436.0,32239.0,3115302.6,12.85
896,19/04/2011,2011-04-19,35,11,20,43,19,9,45.0,27,37,,0.0,0.0,0.0,0.0,11.0,1.0,263489.6,23953.6,175.0,27.0,542482.5,3099.9,1327.0,181.0,279001.75,210.25,7661.0,953.0,325592.5,42.5,179213.0,23435.0,3718669.75,20.75,322606.0,43128.0,4161617.4,12.9
897,26/04/2011,2011-04-26,44,29,42,36,22,25,41.0,21,16,,1.0,0.0,25000000.0,25000000.0,6.0,2.0,261972.9,43662.15,171.0,36.0,539359.65,3154.15,835.0,113.0,277387.0,332.2,7543.0,1086.0,323594.7,42.9,169502.0,21362.0,3695143.6,21.8,296405.0,36591.0,4149670.0,14.0
898,03/05/2011,2011-05-03,36,42,45,34,19,10,40.0,8,7,,0.0,0.0,0.0,0.0,1.0,0.0,72927.45,72927.45,34.0,5.0,150144.0,4416.0,217.0,29.0,77219.45,355.85,2033.0,232.0,90061.9,44.3,47618.0,6477.0,1028548.8,21.6,88410.0,12343.0,1153750.5,13.05
899,10/05/2011,2011-05-10,12,35,34,17,15,30,37.0,4,5,,0.0,0.0,0.0,0.0,2.0,0.0,82932.3,41466.15,34.0,4.0,170742.9,5021.85,290.0,35.0,87812.0,302.8,2368.0,308.0,102416.0,43.25,52101.0,6861.0,1169667.45,22.45,99477.0,13552.0,1313096.4,13.2
900,17/05/2011,2011-05-17,11,10,14,33,39,29,26.0,42,21,,1.0,0.0,10000000.0,10000000.0,1.0,0.0,138911.95,138911.95,84.0,17.0,285994.8,3404.7,448.0,61.0,147078.4,328.3,4158.0,551.0,171517.5,41.25,93269.0,12319.0,1963312.45,21.05,164487.0,22458.0,2195901.45,13.35
901,24/05/2011,2011-05-24,24,7,21,40,9,15,25.0,3,38,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,6.0,222294.8,7939.1,235.0,40.0,76950.75,327.45,2262.0,338.0,89801.4,39.7,51973.0,6994.0,1026466.75,19.75,92509.0,12331.0,1151737.05,12.45
902,31/05/2011,2011-05-31,25,33,4,36,45,41,43.0,19,21,,0.0,0.0,0.0,0.0,4.0,0.0,88415.0,22103.75,31.0,6.0,182030.45,5871.95,257.0,41.0,93612.25,364.25,2322.0,314.0,109250.1,47.05,55111.0,7831.0,1248264.15,22.65,101771.0,14340.0,1399351.25,13.75
903,07/06/2011,2011-06-07,17,15,28,8,41,9,7.0,6,25,,0.0,0.0,0.0,0.0,3.0,0.0,129292.35,43097.45,66.0,8.0,266191.2,4033.2,508.0,56.0,136906.0,269.5,4052.0,540.0,159648.8,39.4,91999.0,11838.0,1826180.15,19.85,167351.0,20834.0,2041682.2,12.2
904,14/06/2011,2011-06-14,4,15,13,26,21,3,1.0,14,27,,0.0,0.0,0.0,0.0,6.0,1.0,159505.8,26584.3,100.0,16.0,328395.0,3283.95,579.0,79.0,168894.3,291.7,5549.0,735.0,196989.5,35.5,120904.0,16021.0,2254859.6,18.65,205433.0,27419.0,2526825.9,12.3
905,21/06/2011,2011-06-21,19,15,16,31,42,17,37.0,39,44,,2.0,0.0,20000000.0,10000000.0,5.0,0.0,242088.0,48417.6,102.0,11.0,498417.9,4886.45,747.0,78.0,256333.05,343.15,6255.0,752.0,298989.0,47.8,141506.0,17382.0,3417369.9,24.15,242371.0,30005.0,3829461.8,15.8
906,28/06/2011,2011-06-28,28,16,23,20,35,3,27.0,33,17,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,8.0,233214.0,7773.8,552.0,44.0,80730.0,146.25,2353.0,321.0,94237.65,40.05,50042.0,6970.0,1075903.0,21.5,88566.0,11887.0,1204497.6,13.6
907,05/07/2011,2011-07-05,20,29,28,34,40,6,33.0,21,8,,0.0,0.0,0.0,0.0,1.0,0.0,87036.75,87036.75,36.0,4.0,179193.6,4977.6,247.0,32.0,92155.7,373.1,2115.0,289.0,107547.75,50.85,49591.0,7027.0,1229856.8,24.8,91933.0,12482.0,1378995.0,15.0
908,12/07/2011,2011-07-12,8,21,7,16,35,24,27.0,33,5,,0.0,0.0,0.0,0.0,3.0,1.0,115887.0,38629.0,58.0,3.0,238591.7,4113.65,394.0,54.0,122711.3,311.45,3617.0,509.0,143233.2,39.6,78418.0,11147.0,1635015.3,20.85,134898.0,18423.0,1834612.8,13.6
909,19/07/2011,2011-07-19,27,24,5,34,20,9,8.0,7,23,,0.0,0.0,0.0,0.0,8.0,0.0,168113.2,21014.15,101.0,15.0,346116.9,3426.9,617.0,83.0,178004.5,288.5,5238.0,692.0,207686.7,39.65,108551.0,14288.0,2371839.35,21.85,204164.0,26402.0,2664340.2,13.05
910,26/07/2011,2011-07-26,41,21,10,27,35,45,23.0,39,37,,0.0,0.0,0.0,0.0,7.0,0.0,236408.9,33772.7,131.0,12.0,486723.95,3715.45,791.0,126.0,250311.95,316.45,6581.0,890.0,292196.4,44.4,144548.0,19607.0,3339058.8,23.1,257207.0,35323.0,3742361.85,14.55
911,02/08/2011,2011-08-02,42,2,4,20,29,27,25.0,32,17,,1.0,0.0,30000000.0,30000000.0,12.0,1.0,335867.4,27988.95,149.0,24.0,691494.1,4640.9,1004.0,122.0,355616.8,354.2,9017.0,1138.0,414782.0,46.0,205086.0,27006.0,4737486.6,23.1,355210.0,45700.0,5310389.5,14.95
912,09/08/2011,2011-08-09,33,39,29,27,14,6,26.0,23,30,,0.0,0.0,0.0,0.0,1.0,0.0,79853.65,79853.65,36.0,4.0,164404.8,4566.8,210.0,28.0,84546.0,402.6,1959.0,279.0,98635.65,50.35,46051.0,6639.0,1128249.5,24.5,87591.0,11920.0,1265689.95,14.45
913,16/08/2011,2011-08-16,5,24,25,18,22,39,41.0,16,6,,0.0,0.0,0.0,0.0,1.0,0.0,99929.25,99929.25,55.0,6.0,205735.75,3740.65,253.0,40.0,105804.6,418.2,2348.0,357.0,123387.4,52.55,55976.0,7877.0,1410595.2,25.2,100307.0,13638.0,1579835.25,15.75
914,23/08/2011,2011-08-23,9,12,39,26,18,27,7.0,8,30,,1.0,0.0,10000000.0,10000000.0,3.0,0.0,147265.8,49088.6,82.0,16.0,303195.0,3697.5,510.0,67.0,155932.5,305.75,4427.0,700.0,181949.7,41.1,97358.0,14077.0,2078593.3,21.35,173578.0,24388.0,2325945.2,13.4
915,30/08/2011,2011-08-30,41,4,22,16,28,8,34.0,13,20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,4.0,231941.2,5042.2,269.0,54.0,80283.05,298.45,2239.0,286.0,93702.15,41.85,47966.0,6549.0,1069641.8,22.3,86000.0,11701.0,1199700.0,13.95
916,06/09/2011,2011-09-06,20,2,27,44,16,5,40.0,22,31,,0.0,0.0,0.0,0.0,4.0,0.0,89889.4,22472.35,55.0,5.0,185066.75,3364.85,282.0,39.0,95175.0,337.5,2404.0,320.0,111064.8,46.2,55192.0,7133.0,1269416.0,23.0,94634.0,12373.0,1424241.7,15.05
917,13/09/2011,2011-09-13,31,24,38,37,6,20,18.0,21,8,,0.0,0.0,0.0,0.0,4.0,0.0,136783.0,34195.75,70.0,5.0,281613.5,4023.05,382.0,47.0,144835.3,379.15,3353.0,399.0,168991.2,50.4,79428.0,10449.0,1930100.4,24.3,146001.0,18826.0,2160814.8,14.8
918,20/09/2011,2011-09-20,4,17,29,1,27,19,22.0,8,28,,2.0,1.0,15000000.0,7500000.0,4.0,0.0,178761.2,44690.3,88.0,9.0,368038.0,4182.25,689.0,86.0,189268.3,274.7,5648.0,720.0,220836.8,39.1,124232.0,17217.0,2521909.6,20.3,224254.0,29900.0,2825600.4,12.6
919,27/09/2011,2011-09-27,15,26,32,34,21,40,23.0,37,22,,0.0,0.0,0.0,0.0,3.0,0.0,75304.8,25101.6,33.0,4.0,155038.95,4698.15,192.0,23.0,79737.6,415.3,1686.0,281.0,92982.9,55.15,40978.0,5943.0,1063379.1,25.95,74063.0,10509.0,1192414.3,16.1
920,04/10/2011,2011-10-04,9,2,19,42,1,36,25.0,5,6,,1.0,0.0,5000000.0,5000000.0,3.0,1.0,88063.65,29354.55,44.0,9.0,181306.4,4120.6,309.0,37.0,93240.75,301.75,2349.0,343.0,108758.7,46.3,53773.0,8019.0,1242156.3,23.1,105726.0,15257.0,1395583.2,13.2
921,11/10/2011,2011-10-11,39,32,8,25,12,6,44.0,41,10,,0.0,0.0,0.0,0.0,4.0,1.0,70462.8,17615.7,38.0,9.0,145070.7,3817.65,191.0,21.0,74604.6,390.6,1680.0,242.0,87024.0,51.8,38511.0,5404.0,995509.35,25.85,69088.0,9511.0,1115771.2,16.15
922,18/10/2011,2011-10-18,45,6,10,43,16,15,36.0,44,9,,0.0,0.0,0.0,0.0,2.0,0.0,80187.4,40093.7,35.0,6.0,165091.5,4716.9,212.0,28.0,84906.0,400.5,1824.0,241.0,99043.2,54.3,44152.0,6436.0,1132498.8,25.65,81599.0,11426.0,1268864.45,15.55
923,25/10/2011,2011-10-25,29,33,16,36,34,35,3.0,14,31,,0.0,0.0,0.0,0.0,4.0,1.0,121727.0,30431.75,58.0,13.0,250615.1,4320.95,387.0,41.0,128890.35,333.05,3160.0,474.0,150416.0,47.6,73834.0,10995.0,1720332.2,23.3,125729.0,18327.0,1923653.7,15.3
924,01/11/2011,2011-11-01,23,17,44,25,31,5,12.0,19,13,,0.0,0.0,0.0,0.0,3.0,0.0,155003.25,51667.75,72.0,22.0,319125.6,4432.3,556.0,66.0,164131.2,295.2,4429.0,682.0,191554.25,43.25,100143.0,13829.0,2188124.55,21.85,184745.0,24132.0,2457108.5,13.3
925,08/11/2011,2011-11-08,3,6,1,18,34,21,15.0,12,28,,1.0,1.0,20000000.0,20000000.0,11.0,2.0,223293.4,20299.4,116.0,22.0,459719.6,3963.1,1194.0,133.0,236412.0,198.0,6358.0,919.0,275937.2,43.4,144274.0,19143.0,3152386.9,21.85,269353.0,35861.0,3528524.3,13.1
926,15/11/2011,2011-11-15,9,6,22,20,28,8,7.0,29,39,,0.0,0.0,0.0,0.0,3.0,0.0,73072.2,24357.4,64.0,8.0,150441.6,2350.65,302.0,61.0,77372.4,256.2,3099.0,402.0,90335.85,29.15,59424.0,8143.0,1031006.4,17.35,90148.0,12685.0,1158401.8,12.85
927,22/11/2011,2011-11-22,11,25,5,21,16,10,37.0,39,12,,0.0,0.0,0.0,0.0,4.0,0.0,93680.8,23420.2,53.0,15.0,192872.3,3639.1,313.0,52.0,99189.7,316.9,3004.0,456.0,115654.0,38.5,65026.0,9242.0,1323279.1,20.35,106211.0,15549.0,1481643.45,13.95
928,29/11/2011,2011-11-29,34,12,9,15,6,33,5.0,1,4,,0.0,0.0,0.0,0.0,3.0,2.0,142697.7,47565.9,85.0,11.0,293789.75,3456.35,493.0,81.0,151079.85,306.45,4033.0,647.0,176242.1,43.7,91375.0,13115.0,2014818.75,22.05,166112.0,23614.0,2259123.2,13.6
929,06/12/2011,2011-12-06,8,2,29,33,30,24,12.0,17,11,,0.0,0.0,0.0,0.0,3.0,0.0,176793.75,58931.25,91.0,13.0,363986.35,3999.85,609.0,72.0,187206.6,307.4,4811.0,596.0,218419.4,45.4,114003.0,15373.0,2496665.7,21.9,212283.0,28893.0,2802135.6,13.2
930,13/12/2011,2011-12-13,18,45,21,25,11,29,42.0,23,40,,1.0,0.0,20000000.0,20000000.0,9.0,1.0,221622.75,24624.75,126.0,18.0,456283.8,3621.3,661.0,99.0,234655.0,355.0,6251.0,1006.0,273793.8,43.8,140999.0,20268.0,3130177.8,22.2,245690.0,33419.0,3501082.5,14.25
931,20/12/2011,2011-12-20,40,8,36,29,7,9,21.0,32,10,,0.0,0.0,0.0,0.0,2.0,0.0,70814.9,35407.45,37.0,4.0,145794.8,3940.4,246.0,31.0,74980.8,304.8,2296.0,280.0,87477.6,38.1,49203.0,6623.0,998820.9,20.3,81899.0,10845.0,1122016.3,13.7
932,27/12/2011,2011-12-27,9,20,12,6,38,35,18.0,13,41,,1.0,0.0,5000000.0,5000000.0,16.0,0.0,66280.8,4142.55,44.0,4.0,136461.6,3101.4,216.0,15.0,70178.4,324.9,1947.0,195.0,81871.35,42.05,42077.0,5217.0,936213.25,22.25,69624.0,8849.0,1047841.2,15.05
933,03/01/2012,2012-01-03,22,35,42,1,31,39,34.0,6,43,,0.0,0.0,0.0,0.0,1.0,0.0,63817.8,63817.8,20.0,3.0,131390.0,6569.5,137.0,17.0,67568.4,493.2,1209.0,184.0,78826.8,65.2,31972.0,4678.0,901610.4,28.2,59387.0,8384.0,1009579.0,17.0
934,10/01/2012,2012-01-10,6,44,37,5,39,8,7.0,33,40,,1.0,0.0,5000000.0,5000000.0,1.0,1.0,85644.45,85644.45,37.0,6.0,176327.2,4765.6,253.0,48.0,90687.85,358.45,2296.0,354.0,105845.6,46.1,53641.0,7537.0,1209604.55,22.55,90365.0,12478.0,1355475.0,15.0
935,17/01/2012,2012-01-17,31,11,5,7,13,32,2.0,27,21,,0.0,0.0,0.0,0.0,4.0,0.0,66848.4,16712.1,37.0,8.0,137628.9,3719.7,431.0,59.0,70770.2,164.2,2410.0,335.0,82542.5,34.25,51672.0,6918.0,943014.0,18.25,99842.0,13121.0,1058325.2,10.6
936,24/01/2012,2012-01-24,40,29,27,13,44,12,10.0,15,18,,0.0,0.0,0.0,0.0,1.0,0.0,84317.95,84317.95,46.0,9.0,173594.8,3773.8,258.0,46.0,89280.9,346.05,2440.0,328.0,104188.0,42.7,55190.0,7367.0,1189344.5,21.55,96915.0,12960.0,1332581.25,13.75
